ano,mes,dia,data,val_dolar_abertura,val_dolar_fechamento,val_dolar_maximo,val_dolar_minimo,perc_variacao_dolar
2025,08,22,2025-08-22,5.47500,5.42270,5.47780,5.40780,-0.8800
2025,08,21,2025-08-21,5.48310,5.47100,5.49610,5.46620,-0.2200
2025,08,20,2025-08-20,5.50360,5.48290,5.50610,5.46200,-0.3800
2025,08,19,2025-08-19,5.43720,5.50400,5.50830,5.43090,0.0124
2025,08,18,2025-08-18,5.40090,5.43680,5.44070,5.39800,0.0066
2025,08,15,2025-08-15,5.41600,5.40090,5.41650,5.38450,-0.2800
2025,08,14,2025-08-14,5.39900,5.41600,5.43200,5.38950,0.0031
2025,08,13,2025-08-13,5.38900,5.39910,5.41140,5.38000,0.0018
2025,08,12,2025-08-12,5.44280,5.38950,5.44610,5.38480,-0.9700
2025,08,11,2025-08-11,5.43380,5.44240,5.45970,5.43180,0.0015
2025,08,08,2025-08-08,5.42360,5.43400,5.44300,5.41310,0.0019
2025,08,07,2025-08-07,5.46430,5.42360,5.47650,5.41580,-0.7200
2025,08,06,2025-08-06,5.50810,5.46320,5.51160,5.45800,-0.8000
2025,08,05,2025-08-05,5.49840,5.50750,5.53560,5.49690,0.0016
2025,08,04,2025-08-04,5.54210,5.49880,5.54390,5.49520,-0.7800
2025,08,01,2025-08-01,5.60030,5.54200,5.62860,5.52520,-1.0600
2025,07,31,2025-07-31,5.56950,5.60150,5.62480,5.52130,0.0057
2025,07,30,2025-07-30,5.57440,5.56950,5.63070,5.54380,-0.0900
2025,07,29,2025-07-29,5.58930,5.57470,5.60670,5.55880,-0.2500
2025,07,28,2025-07-28,5.56420,5.58880,5.60630,5.56420,0.0046
2025,07,25,2025-07-25,5.52130,5.56330,5.57400,5.51830,0.0076
2025,07,24,2025-07-24,5.52140,5.52150,5.53980,5.51150,0.0001
2025,07,23,2025-07-23,5.56530,5.52120,5.57810,5.51470,-0.8000
2025,07,22,2025-07-22,5.56740,5.56570,5.59080,5.55140,-0.0300
2025,07,21,2025-07-21,5.57950,5.56710,5.61150,5.55030,-0.2100
2025,07,18,2025-07-18,5.54750,5.57900,5.59840,5.52280,0.0061
2025,07,17,2025-07-17,5.56890,5.54490,5.61030,5.53700,-0.4300
2025,07,16,2025-07-16,5.55710,5.56900,5.59520,5.54090,0.0021
2025,07,15,2025-07-15,5.58960,5.55710,5.60490,5.53450,-0.5800
2025,07,14,2025-07-14,5.55980,5.58930,5.59370,5.54400,0.0055
2025,07,11,2025-07-11,5.53190,5.55890,5.59250,5.52940,0.0048
2025,07,10,2025-07-10,5.57710,5.53210,5.62850,5.52430,-0.8000
2025,07,09,2025-07-09,5.44710,5.57660,5.60570,5.44510,0.0237
2025,07,08,2025-07-08,5.48840,5.44740,5.49180,5.43530,-0.7400
2025,07,07,2025-07-07,5.42110,5.48800,5.48910,5.42100,0.0123
2025,07,04,2025-07-04,5.40920,5.42120,5.42660,5.40220,0.0023
2025,07,03,2025-07-03,5.42440,5.40900,5.44750,5.40260,-0.2800
2025,07,02,2025-07-02,5.45850,5.42400,5.49850,5.41510,-0.6400
2025,07,01,2025-07-01,5.43210,5.45880,5.47030,5.41830,0.0048
